danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode
0.375,0.651,F,-7.999,minor,0.0556,0.0292,3.02e-5,0.185,0.361,203.331,39hTX6ufRqD7YOgsrIxxLL,212973,4,F minor
0.506,0.607,G#,-10.671,major,0.0366,0.499,5.92e-4,0.106,0.724,155.026,0tHrNKbNzWJ2nXQOszImjQ,240253,1,G# major
0.298,0.569,C,-7.952,major,0.0415,0.0251,1.27e-5,0.107,0.199,128.486,5LmEkYrFigBxVRp9XJ8vSO,369230,3,C major
0.12,0.167,D#,-19.474,major,0.0371,0.876,0.929,0.103,0.0343,77.28,7nYuwtCCU607EBPSAC0b1w,328213,4,D# major
0.318,0.497,C,-9.613,major,0.0533,0.637,6.43e-4,0.084,0.244,118.091,3c30F9x3reFdO9e8M9BoCh,288573,4,C major
0.468,0.195,A,-10.477,minor,0.0295,0.866,0.509,0.109,0.0789,67.586,2Z3ZqLsK5YxY756378DOEM,168160,4,A minor
0.854,0.463,F,-6.159,major,0.137,0.117,0,0.354,0.549,120.024,0b9oOr2ZgvyQu88wzixux9,225773,4,F major
0.521,0.519,D,-7.757,minor,0.0857,0.697,7.77e-4,0.0633,0.253,84.812,47RDzk3uT014BXqc4oevq5,240813,4,D minor
0.573,0.499,F#,-7.912,major,0.0258,0.109,0.854,0.15,0.519,89.977,4jGEOzd4KKiXmkks3YKvhl,155937,4,F# major
0.705,0.751,G,-4.767,major,0.287,0.0598,2.51e-6,0.907,0.819,80.727,1UJNbgfTzG1gZZTWFJdMf1,174867,4,G major
0.823,0.814,G,-5.611,minor,0.177,0.644,0.687,0.117,0.649,102.619,65u7IbuZ4viAlVBHxnpos1,236533,4,G minor
0.766,0.848,G,-7.296,major,0.111,0.541,1.08e-5,0.0851,0.676,100.995,3yKLskgaU2py5ET4OBDQmg,277960,4,G major
0.79,0.943,G,-8.631,major,0.0398,0.0778,0.896,0.0855,0.581,114.1,2rnAYh7REAMGYqJUXJKZZK,248600,4,G major
0.669,0.612,C,-5.768,minor,0.0293,0.846,0.233,0.16,0.612,98.475,69jGxyfw3lzGGYf78jdkpF,239667,4,C minor
0.587,0.587,E,-9.052,minor,0.0506,0.00268,0.508,0.131,0.467,161.981,4NSEHH8ceajzrJy5RKt2Bg,233955,4,E minor
0.705,0.487,C,-8.009,minor,0.0312,0.0323,0.276,0.104,0.328,104.981,31jOab6BH7E3jJFfFbYprr,180163,4,C minor
0.187,0.0115,F,-16.375,major,0.0591,0.858,0.464,0.0886,0.0331,72.711,0rchcA4mkjp4jyGx08BOFs,256987,1,F major
0.386,0.199,F,-15.084,minor,0.25,0.889,0.752,0.0856,0.181,74.999,77BFqHfi7EneHm9Q9w7Quk,134400,4,F minor
0.589,0.229,F#,-14.37,minor,0.0583,0.682,0.867,0.0963,0.0399,77.89,3GzgFexTzBASwRGPuMIzcc,87164,4,F# minor
0.661,0.391,E,-4.24,major,0.0413,0.616,0.856,0.0878,0.256,82.819,4SkTfsjWUy2rp40d2Ayfmv,255049,4,E major
0.707,0.78,D#,-10.142,major,0.235,0.83,0,0.199,0.808,92.653,1CQWIpYzU0fk0DT4oXsrkd,144600,4,D# major
0.379,0.657,B,-6.621,major,0.0535,0.0356,0.447,0.0939,0.793,184.341,36ubIl1r1fKTryLNIGHocj,239716,1,B major
0.665,0.568,C#,-11.514,major,0.0352,0.693,0.489,0.0986,0.82,149.369,6NxkpxmxVKrljCGs24qrf2,221653,4,C# major
0.66,0.582,G,-7.769,major,0.0602,0.501,6.03e-4,0.257,0.403,117.895,2JiOQUqMlUkwcbvv3rtSC9,263192,4,G major
0.751,0.533,A,-6.505,minor,0.317,0.0124,0.653,0.178,0.447,69.999,0GDVDKFLPTGWTh77HoOf6T,188238,4,A minor
0.563,0.648,A,-13.441,major,0.0284,0.529,0.882,0.342,0.685,80.002,3iocoJZ2lcErqIts69KiIY,273782,4,A major
0.72,0.264,G,-13.163,major,0.0388,0.637,0.24,0.0935,0.387,149.972,7roEnuyAZ1bXKNQT3QWuHv,302272,4,G major
0.441,0.48,B,-8.94,minor,0.0688,0.86,0.00346,0.656,0.138,82.884,2UBQL3IbQhIEQVoXqWDrwu,164389,4,B minor
0.803,0.695,G,-7.768,major,0.0465,0.0668,0.0013,0.133,0.421,89.999,57odIsNox07FjETxo2SyPR,263941,4,G major
