danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_uri,duration_ms,time_signature,key_mode,playlist_name,playlist_img,track_name,artist_name,album_name,album_img
0.433,0.646,C#,-5.086,major,0.0326,0.0121,0.00177,0.375,0.0708,139.81,4X92FYC11BEnX7bBbGJcHw,240000,4,C# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Drown,Ardency,Honey Moon,https://i.scdn.co/image/067d580ad414a5f39fb6916836b387ebd3929949
0.25,0.288,C,-14.341,major,0.0323,0.693,0.824,0.102,0.324,147.243,3ozCQsJ9IA0v3ZlpE21UzK,160108,4,C major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Field,Tycho,Epoch,https://i.scdn.co/image/638bcdbe536ee0d427f6f5797e31687bb07a10a5
0.651,0.855,A,-6.086,minor,0.0447,0.00598,0.0136,0.0753,0.621,140.015,0eEtvptSMs3Ib3llWU7FEg,210746,4,A minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Sittin Here,Supermassive,Major Major,https://i.scdn.co/image/fac41d98ddbdcf5cd07b6f1ced8f6032e9e0a284
0.543,0.907,F#,-6.698,minor,0.0427,0.36,0.622,0.0689,0.616,80.5,1bqrRn1pJWowNLA5N9L6uW,262213,1,F# minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Meet Me in the Woods,Lord Huron,Strange Trails,https://i.scdn.co/image/2139fe633e640d34928387ba58baa85fc97c3524
0.399,0.693,B,-7.626,major,0.456,0.155,0,0.0592,0.408,75.189,4dyGS868sbyKQ0A21HeHH4,207083,4,B major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,In Gaol,Milo,A Toothpaste Suburb,https://i.scdn.co/image/ca2a700d20501662bbec561db2adb447712667c2
0.519,0.843,B,-6.508,major,0.0431,0.214,4.46e-4,0.21,0.592,84.997,7eSWgAlmLPXbGxgH3RNoWh,265759,4,B major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,We Stayed Up All Night,Tourist,We Stayed Up All Night,https://i.scdn.co/image/556618e6b89529088059cf08c78ae5f26513ef80
0.746,0.614,G,-5.503,minor,0.0406,4.63e-4,0.00619,0.155,0.0391,121.98,56vZbcjXNE4JmB2HyzjRDo,253120,4,G minor,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,OYAHYTT (feat. LaKeith Stanfield),The Coup,Sorry To Bother You: The Soundtrack,https://i.scdn.co/image/4d9f748f7bd4cf63fff76afe68409f1975607eb1
0.475,0.751,A#,-4.806,major,0.0271,0.643,0.855,0.129,0.142,81.532,50qNZb4uwtmpa2zn0DUV2U,240108,4,A# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Fallss,Bayonne,Fallss,https://i.scdn.co/image/d62a210bdc06e5f5abd5cf293e0fa29be1256d93
0.383,0.62,A#,-8.986,major,0.0338,0.0114,0.947,0.115,0.208,169.873,5dmw7aqRnlmlE4HVidQpSs,283238,4,A# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,This Afternoon,Van Common,This Afternoon,https://i.scdn.co/image/cf8fcd641c95799f0d4823252b4062c5f0d4fbfc
0.46,0.58,D#,-6.07,major,0.036,0.0648,0.733,0.0955,0.538,173.759,69KM34rGezsFpsqBowAnIf,171625,4,D# major,Your Top Songs 2018,https://lineup-images.scdn.co/your-top-songs-2018_DEFAULT-en.jpg,Rivals (Trails and Ways Remix),Wild Ones,Keep It Safe,https://i.scdn.co/image/e0d513651809c4f49ba6248f8d4f28bb8868b415
